ubuntu   pts/0        128.223.223.183  Mon Jul 31 16:37   still logged in
ubuntu   pts/0        76.115.147.191   Mon Jul 31 09:31 - 09:31  (00:00)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 07:19 - 07:19  (00:00)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 06:25 - 06:50  (00:24)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 06:19 - 06:20  (00:00)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 05:11 - 05:44  (00:32)
ubuntu   pts/0        73.240.200.192   Mon Jul 31 04:54 - 05:05  (00:10)
ubuntu   pts/0        108.6.187.140    Mon Jul 31 04:19 - 04:19  (00:00)
pogrebin pts/0        73.164.228.201   Mon Jul 31 04:13 - 04:13  (00:00)
ubuntu   pts/1        76.115.147.191   Mon Jul 31 04:00 - 04:02  (00:01)
nsato10  pts/1        73.240.200.192   Mon Jul 31 03:47 - 03:48  (00:00)
junck    pts/1        192.236.96.88    Mon Jul 31 03:16 - 03:16  (00:00)
ubuntu   pts/0        108.6.187.140    Mon Jul 31 02:27 - 04:06  (01:39)
ubuntu   pts/0        76.115.147.191   Mon Jul 31 01:01 - 01:02  (00:00)
ubuntu   pts/0        73.240.200.192   Sun Jul 30 23:23 - 23:24  (00:00)
ubuntu   pts/0        73.240.200.192   Sun Jul 30 23:23 - 23:23  (00:00)
ubuntu   pts/0        73.240.200.192   Sun Jul 30 23:19 - 23:21  (00:01)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 23:19 - 23:19  (00:00)
ubuntu   pts/0        70.210.137.226   Sun Jul 30 22:53 - 22:54  (00:00)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 21:31 - 22:08  (00:36)
slynch   pts/0        73.96.196.228    Sun Jul 30 21:09 - 21:10  (00:00)
slynch   pts/0        73.96.196.228    Sun Jul 30 20:10 - 20:11  (00:00)
ubuntu   pts/0        209.180.233.169  Sun Jul 30 20:01 - 20:04  (00:02)
ubuntu   pts/0        209.180.233.169  Sun Jul 30 19:58 - 20:00  (00:01)
ubuntu   pts/0        209.180.233.169  Sun Jul 30 19:56 - 19:57  (00:00)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 06:52 - 07:36  (00:44)
jemin    pts/0        198.0.62.98      Sun Jul 30 02:41 - 02:44  (00:02)
ubuntu   pts/0        76.115.147.191   Sun Jul 30 00:20 - 00:20  (00:00)
ubuntu   pts/0        76.115.147.191   Sat Jul 29 21:47 - 21:48  (00:00)
ubuntu   pts/0        70.210.137.226   Sat Jul 29 13:35 - 13:37  (00:01)
ubuntu   pts/0        76.115.147.191   Sat Jul 29 10:29 - 11:04  (00:35)
ubuntu   pts/0        76.115.147.191   Sat Jul 29 09:55 - 09:55  (00:00)
mister_p pts/1        76.115.147.191   Sat Jul 29 01:23 - 01:23  (00:00)
ubuntu   pts/0        76.115.147.191   Sat Jul 29 01:18 - 03:40  (02:22)
dholsteg pts/0        75.170.49.50     Fri Jul 28 22:23 - 22:23  (00:00)
jsheabia pts/0        24.20.175.13     Fri Jul 28 21:35 - 21:37  (00:01)
ubuntu   pts/0        73.240.200.192   Fri Jul 28 14:42 - 14:42  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 28 14:42 - 14:42  (00:00)
ubuntu   pts/0        76.115.147.191   Fri Jul 28 06:25 - 06:25  (00:00)
ubuntu   pts/0        76.115.147.191   Fri Jul 28 01:38 - 01:38  (00:00)
ubuntu   pts/0        128.223.223.197  Fri Jul 28 00:19 - 00:30  (00:10)
ubuntu   pts/0        128.223.223.197  Fri Jul 28 00:14 - 00:19  (00:05)
mister_p pts/0        76.115.147.191   Thu Jul 27 20:19 - 20:20  (00:00)
cnf      pts/0        128.223.16.206   Thu Jul 27 16:55 - 16:55  (00:00)
ubuntu   pts/0        128.223.223.131  Thu Jul 27 16:47 - 16:50  (00:03)
ubuntu   pts/0        70.210.135.110   Thu Jul 27 15:57 - 16:00  (00:02)
ubuntu   pts/0        70.210.135.110   Thu Jul 27 15:54 - 15:55  (00:01)
ubuntu   pts/0        70.210.135.110   Thu Jul 27 15:53 - 15:53  (00:00)
ubuntu   pts/0        73.240.200.192   Wed Jul 26 06:30 - 06:31  (00:00)
ubuntu   pts/0        128.223.223.195  Tue Jul 25 22:11 - 22:12  (00:01)
ubuntu   pts/0        128.223.223.197  Tue Jul 25 21:56 - 21:57  (00:00)
ubuntu   pts/0        73.240.200.192   Sat Jul 22 18:25 - 18:25  (00:00)
ubuntu   pts/0        73.240.200.192   Sat Jul 22 16:25 - 16:27  (00:02)
ubuntu   pts/0        73.240.200.192   Sat Jul 22 00:19 - 00:19  (00:00)
ubuntu   pts/0        70.210.135.110   Sat Jul 22 00:18 - 00:18  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 21:55 - 21:56  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 21:54 - 21:55  (00:01)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 21:35 - 21:37  (00:01)
reboot   system boot  4.4.0-1022-aws   Fri Jul 21 21:00   still running
ubuntu   pts/0        73.240.200.192   Fri Jul 21 21:00 - 21:00  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 20:56 - 20:57  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 20:55 - 20:56  (00:01)
reboot   system boot  4.4.0-1022-aws   Fri Jul 21 20:55 - 21:00  (00:05)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 20:54 - 20:54  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 20:46 - 20:53  (00:06)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 20:27 - 20:29  (00:01)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 19:52 - 20:07  (00:14)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 19:18 - 19:49  (00:30)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 18:25 - 18:26  (00:01)
ubuntu   pts/0        73.240.200.192   Fri Jul 21 18:23 - 18:24  (00:01)
ubuntu   pts/0        73.240.200.192   Thu Jul 20 23:28 - 23:28  (00:00)
ubuntu   pts/0        73.240.200.192   Thu Jul 20 17:45 - 17:45  (00:00)
ubuntu   pts/0        70.210.142.77    Tue Jul 18 20:54 - 20:54  (00:00)
ubuntu   pts/0        70.210.142.77    Tue Jul 18 19:30 - 19:30  (00:00)
ubuntu   pts/3        128.223.223.196  Mon Jul 17 21:48 - 01:21  (03:32)
ubuntu   pts/1        128.223.223.195  Mon Jul 17 21:47 - 21:49  (00:01)
ubuntu   pts/0        128.223.223.250  Mon Jul 17 21:42 - 23:10  (01:27)
ubuntu   pts/0        70.210.132.104   Mon Jul 17 03:59 - 04:00  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 14 19:13 - 19:13  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 14 19:13 - 19:13  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 14 19:13 - 19:13  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 14 19:10 - 19:10  (00:00)
ubuntu   pts/0        73.240.200.192   Fri Jul 14 19:02 - 19:05  (00:03)
ubuntu   pts/0        73.240.200.192   Fri Jul 14 18:59 - 19:00  (00:01)
ubuntu   pts/0        128.223.223.251  Thu Jul 13 22:04 - 00:17  (02:12)
ubuntu   pts/0        128.223.223.251  Thu Jul 13 21:57 - 22:00  (00:03)
ubuntu   pts/0        128.223.223.196  Wed Jul 12 22:10 - 22:11  (00:01)
ubuntu   pts/4        128.223.223.251  Tue Jul 11 22:55 - 01:20  (02:25)
ubuntu   pts/2        128.223.223.194  Tue Jul 11 22:52 - 22:58  (00:06)
ubuntu   pts/3        128.223.223.251  Tue Jul 11 22:37 - 00:49  (02:11)
ubuntu   pts/2        128.223.223.194  Tue Jul 11 22:19 - 22:38  (00:19)
ubuntu   pts/2        128.223.223.251  Tue Jul 11 22:11 - 22:11  (00:00)
ubuntu   pts/1        128.223.223.251  Tue Jul 11 21:53 - 23:23  (01:29)
ubuntu   pts/0        128.223.223.251  Tue Jul 11 21:51 - 00:37  (02:46)
ubuntu   pts/0        73.240.200.192   Tue Jul 11 18:40 - 18:44  (00:04)
ubuntu   pts/1        75.145.77.185    Fri Jul  7 21:26 - 21:27  (00:00)
ubuntu   pts/1        75.145.77.185    Fri Jul  7 21:22 - 21:23  (00:00)
ubuntu   pts/0        96.89.112.109    Fri Jul  7 21:19 - 21:31  (00:12)
ubuntu   pts/0        75.145.77.185    Fri Jul  7 21:12 - 21:12  (00:00)
ubuntu   pts/0        128.223.223.69   Wed Jul  5 21:43 - 21:43  (00:00)
ubuntu   pts/1        73.240.200.192   Wed Jul  5 03:58 - 04:02  (00:04)
ubuntu   pts/1        73.240.200.192   Wed Jul  5 03:56 - 03:56  (00:00)
ubuntu   pts/1        73.240.200.192   Wed Jul  5 03:54 - 03:55  (00:00)
ubuntu   pts/1        73.240.200.192   Wed Jul  5 03:43 - 03:43  (00:00)
ubuntu   pts/1        73.240.200.192   Wed Jul  5 03:09 - 03:09  (00:00)
ubuntu   pts/1        73.240.200.192   Wed Jul  5 02:59 - 02:59  (00:00)
ubuntu   pts/1        73.240.200.192   Wed Jul  5 02:58 - 02:58  (00:00)
ubuntu   pts/1        73.240.200.192   Wed Jul  5 02:52 - 02:55  (00:02)
ubuntu   pts/1        73.240.200.192   Wed Jul  5 02:50 - 02:50  (00:00)
ubuntu   pts/0        73.240.77.23     Wed Jul  5 02:34 - 04:20  (01:46)
root     pts/0        73.240.77.23     Wed Jul  5 02:33 - 02:33  (00:00)
reboot   system boot  4.4.0-1020-aws   Wed Jul  5 02:23 - 20:54 (16+18:31)

wtmp begins Wed Jul  5 02:23:36 2017
